,Date,global_id,AdmArea,District,Longitude_WGS84,Latitude_WGS84,Location,Results,geoData,Rank
3323,12.09.2018,904345354,Юго-Восточный административный округ,район Печатники,37.696813,55.654162,"4-я Курьяновская улица, дом 7",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.696813, 55.654162]}",0
3324,13.09.2018,904345356,Южный административный округ,район Нагатинский Затон,37.692184,55.677125,"Коломенская улица, дом 23",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.692184, 55.677125]}",0
3325,13.09.2018,904345357,Южный административный округ,район Нагатинский Затон,37.676825,55.686696,"Нагатинская набережная, дом 46",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.676825, 55.686696]}",0
3326,13.09.2018,904345358,Южный административный округ,район Москворечье-Сабурово,37.654772,55.643404,"Москворечье улица, дом 4, корпус 6",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.654772, 55.643404]}",0
3327,13.09.2018,904345359,Южный административный округ,район Москворечье-Сабурово,37.671354,55.641473,"Кошкина улица, дом 11, корпус 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.671354, 55.641473]}",0
3328,13.09.2018,904345361,Южный административный округ,район Москворечье-Сабурово,37.680194,55.637428,"Кантемировская улица, дом 4, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.680194, 55.637428]}",0
3329,19.09.2018,904345363,Южный административный округ,район Бирюлёво Западное,37.651062,55.593868,"Булатниковский проезд дом 6, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.651062, 55.593868]}",0
3330,23.09.2018,904345364,Южный административный округ,район Братеево,37.768175,55.631966,"Братеевская улица, дом 16, корпус 6",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.768175, 55.631966]}",0
3331,23.09.2018,904345365,Южный административный округ,район Братеево,37.742097,55.632769,"Борисовские Пруды улица, дом 10, корпус 6",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.742097, 55.632769]}",0
3332,23.09.2018,904345366,Южный административный округ,район Зябликово,37.748439,55.621709,"Шипиловская улица, дом 60, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.748439, 55.621709]}",0
3333,23.09.2018,904345367,Южный административный округ,район Орехово-Борисово Северное,37.719486,55.623768,"Борисовский проезд, дом 8, корпус 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.719486, 55.623768]}",0
3334,30.09.2018,904345368,Южный административный округ,район Нагатинский Затон,37.692109,55.677148,"Коломенская улица, дом 23",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.692109, 55.677148]}",0
3335,30.09.2018,904345369,Южный административный округ,район Нагатинский Затон,37.676835,55.686517,"Нагатинская набережная, дом 46",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.676835, 55.686517]}",0
