"ID";"Date";"global_id";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"Location";"Results";"geoData";
"179";"07.04.2016";"272437699";"Южный административный округ";"район Нагатино-Садовники";"37.659605";"55.674484";"проспект Андропова, дом 38, корпус 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.659605000217, 55.674483999967]}";
"180";"07.04.2016";"272437700";"Южный административный округ";"район Бирюлёво Западное";"37.646085";"55.595781";"Харьковский проезд, дом 1, корпус 3";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.646085000357, 55.595781000173]}";
"181";"12.04.2016";"272437701";"Южный административный округ";"район Чертаново Южное";"37.610619";"55.580457";"Дорожная улица, дом 56";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.610619000002, 55.580456999845]}";
"182";"13.04.2016";"272437702";"Южный административный округ";"район Бирюлёво Западное";"37.644603";"55.578620";"Востряковский проезд, дом 11, корпус 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.644603000225, 55.578619999803]}";
"183";"13.04.2016";"272437703";"Южный административный округ";"район Бирюлёво Восточное";"37.659245";"55.591630";"Касимовская улица, дом 39";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.659245000367, 55.5916299998]}";
"184";"08.04.2016";"272437704";"Южный административный округ";"район Орехово-Борисово Северное";"37.705410";"55.621928";"улица Маршала Захарова, дом 7";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.705410000435, 55.621928000007]}";
"185";"18.04.2016";"272437705";"Восточный административный округ";"район Преображенское";"37.734650";"55.796005";"Большая Черкизовская улица, дом 22, корпус 3";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.734650000338, 55.796004999955]}";
"186";"18.04.2016";"272437706";"Восточный административный округ";"район Измайлово";"37.793337";"55.802224";"7-я Парковая улица, дом 27";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.793336999833, 55.802223999811]}";
"187";"19.04.2016";"272437708";"Восточный административный округ";"район Гольяново";"37.827068";"55.825477";"Хабаровская улица, дом 22, корпус 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.827068000337, 55.825476999771]}";
"188";"19.04.2016";"272437709";"Восточный административный округ";"район Новокосино";"37.867205";"55.738637";"Городецкая улица, дом 12/17, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.867205000319, 55.738637000213]}";
